# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1531
#@/user_id	d379290b-ffe7-4db1-8ec0-ecbfd66e25eb
a 	啊	c=3 d=1.69003 t=1531
xiao xin 	小心	c=1 d=0.970446 t=1531
xie 	寫	c=2 d=1.02964 t=1531
xie 	鞋	c=1 d=0.882497 t=1531
xin 	信	c=2 d=1.89382 t=1531
xin 	心	c=5 d=3.01721 t=1531
xin 	新	c=1 d=0.66365 t=1531
xin kao 	信靠	c=6 d=5.70666 t=1531
xin ku 	辛苦	c=1 d=0.637628 t=1531
xin shi 	信實	c=2 d=1.90331 t=1531
xin tu 	信徒	c=2 d=1.54653 t=1531
xin xin 	信心	c=1 d=0.88692 t=1531
xing 	行	c=2 d=1.20775 t=1531
xing qi 	星期	c=1 d=0.980199 t=1531
xing rong 	形容	c=3 d=2.20193 t=1531
xing shan 	行善	c=2 d=1.29825 t=1531
xing wei 	行爲	c=1 d=0.588605 t=1531
xing xia 	行俠	c=1 d=0.891366 t=1531
xing xia zhang yi 	行俠仗義	c=1 d=0.895834 t=1531
xiong di 	兄弟	c=2 d=1.4139 t=1531
xu duo 	許多	c=1 d=0.909373 t=1531
xu yao 	需要	c=3 d=2.13085 t=1531
xuan ze 	選擇	c=3 d=1.71887 t=1531
xue 	血	c=1 d=0.97531 t=1531
xue dao 	學到	c=1 d=0.680451 t=1531
ya bo la han 	亞伯拉罕	c=2 d=1.82321 t=1531
yan 	眼	c=1 d=0.965605 t=1531
yang shi 	樣式	c=1 d=0.985112 t=1531
yao 	要	c=23 d=8.22501 t=1531
yao dai 	腰帶	c=1 d=0.852144 t=1531
yao you 	要有	c=1 d=0.970446 t=1531
ye 	也	c=3 d=2.02386 t=1531
ye su 	耶穌	c=13 d=8.25996 t=1531
yi 	一	c=7 d=4.32902 t=1531
yi 	以	c=2 d=1.87156 t=1531
yi ba zhang 	一巴掌	c=1 d=0.970446 t=1531
yi fu suo 	以弗所	c=1 d=0.99005 t=1531
yi ge 	一個	c=1 d=0.860708 t=1531
yi ke 	一顆	c=3 d=2.91202 t=1531
yi qi 	一起	c=3 d=2.02757 t=1531
yi qian 	以前	c=2 d=1.56259 t=1531
yi sai ya 	以賽亞	c=4 d=3.04341 t=1531
yi se lie 	以色列	c=5 d=3.23618 t=1531
yi sheng 	一生	c=1 d=0.995012 t=1531
yi si 	意思	c=3 d=1.64111 t=1531
yi sui 	易碎	c=1 d=0.806541 t=1531
yi wei 	意味	c=1 d=0.99005 t=1531
yi yang 	一樣	c=2 d=1.49302 t=1531
yi yang ma 	一樣嗎	c=1 d=0.597501 t=1531
yi yi 	意義	c=3 d=2.30266 t=1531
yin 	因	c=5 d=3.99399 t=1531
yin 	音	c=2 d=1.72717 t=1531
yin wei 	因爲	c=10 d=6.47537 t=1531
yin yong 	引用	c=1 d=0.909373 t=1531
ying 	應	c=2 d=1.53999 t=1531
ying gai 	應該	c=7 d=3.96957 t=1531
ying he 	迎合	c=1 d=0.726149 t=1531
ying wen 	英文	c=1 d=1 t=1531
yong 	用	c=1 d=0.778801 t=1531
yong dai 	擁戴	c=1 d=1 t=1531
you 	又	c=2 d=1.84736 t=1531
you 	友	c=1 d=0.965605 t=1531
you 	有	c=27 d=8.827 t=1531
you de 	有的	c=1 d=0.955997 t=1531
you fu 	有福	c=1 d=0.970446 t=1531
you lian 	右臉	c=1 d=1 t=1531
you ren 	有人	c=1 d=0.955997 t=1531
you shen me 	有什麼	c=1 d=0.752014 t=1531
yu 	與	c=16 d=9.7885 t=1531
yu ku nan 	與苦難	c=1 d=0.818731 t=1531
yuan 	員	c=1 d=1 t=1531
yuan 	願	c=3 d=2.6341 t=1531
yuan liang 	原諒	c=2 d=1.55372 t=1531
yuan wen 	原文	c=2 d=1.50433 t=1531
yuan ze 	原則	c=1 d=0.895834 t=1531
yun 	雲	c=1 d=0.980199 t=1531
zai 	再	c=1 d=0.904837 t=1531
zai 	在	c=22 d=8.05629 t=1531
zai ni 	在你	c=1 d=0.985112 t=1531
zai yi 	在意	c=2 d=1.68696 t=1531
zai zhe li 	在這裏	c=1 d=0.904837 t=1531
zan mei 	讚美	c=1 d=0.965605 t=1531
zan xu 	讚許	c=0 d=0.0995012 t=1531
zao 	造	c=1 d=0.913931 t=1531
zen neng 	怎能	c=2 d=1.97516 t=1531
zen yang 	怎樣	c=5 d=1.96238 t=1531
zhan luan 	戰亂	c=1 d=0.865022 t=1531
zhan zheng 	戰爭	c=13 d=9.42476 t=1531
zhang 	章	c=3 d=1.89871 t=1531
zhang fu 	丈夫	c=17 d=6.58899 t=1531
zhang lao 	長老	c=1 d=0.932394 t=1531
zhao 	招	c=1 d=0.748264 t=1531
zhe 	着	c=4 d=3.80297 t=1531
zhe 	這	c=7 d=4.0928 t=1531
zhe duan 	這段	c=1 d=0.790571 t=1531
zhe ge 	這個	c=3 d=2.19992 t=1531
zhe me 	這麼	c=2 d=1.36526 t=1531
zhe xie 	這些	c=2 d=1.42185 t=1531
zhen 	真	c=1 d=0.612626 t=1531
zhen li 	真理	c=1 d=0.843665 t=1531
zhen shi 	真實	c=2 d=1.60459 t=1531
zhen zheng 	真正	c=2 d=1.56862 t=1531
zheng jiu 	拯救	c=1 d=0.882497 t=1531
zhi 	之	c=3 d=2.71798 t=1531
zhi 	只	c=2 d=1.96062 t=1531
zhi dao 	直到	c=1 d=0.980199 t=1531
zhi dao 	知道	c=2 d=1.96079 t=1531
zhi de 	值得	c=1 d=0.946485 t=1531
zhi jian 	之間	c=1 d=0.683861 t=1531
zhi jie 	直接	c=1 d=0.481909 t=1531
zhi shi 	指示	c=1 d=0.748264 t=1531
zhi shi 	知識	c=1 d=0.839457 t=1531
zhi you 	只有	c=3 d=2.84089 t=1531
zhong 	中	c=7 d=3.42146 t=1531
zhong 	重	c=3 d=2.75556 t=1531
zhong nan qing nv 	重男輕女	c=1 d=1 t=1531
zhong shi 	忠實	c=1 d=0.690734 t=1531
zhong xin 	中心	c=1 d=0.822835 t=1531
zhu 	主	c=7 d=5.15933 t=1531
